external_id,legacy_payment_request_id,name,ledger_amount,actual_outflow_count,actual_outflow_amount,sample_downstream_external_ids,target_state,target_validation_status,business_fact
legacy_outflow_sc_023d54d28440405ca220ee530e1c1b5c,5464,PRQ2605464,958793.69,1,958793.69,legacy_actual_outflow_sc_e7aaac048eaf4077b83b42257b65c32c,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_023d9b970ac14ff6b5edf2c23d6a34b2,5465,PRQ2605465,2675.00,1,2675.00,legacy_actual_outflow_sc_48168b596fc7480498c9c51d1a9e5e3d,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_023f6dbebce74ea48477dc961a8b0db6,5466,PRQ2605466,6000.00,1,6000.00,legacy_actual_outflow_sc_dc9fc4e1cb5f4e9db5a03505322500f1,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0243ff32563347748e73440e216a6f3e,5467,PRQ2605467,20700.00,1,20700.00,legacy_actual_outflow_sc_7eee2ca3de3e48e89f10910501f14b39,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_024f6c473cae43aba4dd610ef994c3b2,5468,PRQ2605468,34292.80,1,34292.80,legacy_actual_outflow_sc_78ded2eb8b984b968bdd7e566e19b0b9,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_025bce2609eb4573a12f745f44099c76,5469,PRQ2605469,90050.00,1,90050.00,legacy_actual_outflow_sc_a8eed16928064f6bb5ee9fe9a409ee25,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_025e224f5b17455ea10abd970e6b3f78,5470,PRQ2605470,111675.00,1,111675.00,legacy_actual_outflow_sc_c71dc6087a304be98eca93f637a5dae9,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_025eb6684be840718588a9a2e012e622,5471,PRQ2605471,2443325.80,1,2443325.80,legacy_actual_outflow_sc_a82e11ef5d6f4d16baa0e24fc307337e,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_025fc0c3a77a471ca4cf1e2d56569697,5472,PRQ2605472,1760.00,1,1760.00,legacy_actual_outflow_sc_fb4c74983b804f91b314120537af1d02,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_02641c96961341588bab928c8e6ca542,5473,PRQ2605473,93275.00,1,93275.00,legacy_actual_outflow_sc_6a7854418b004418b40b744c64aad482,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_02669e28930548d3a62c57d8db041145,5474,PRQ2605474,183674.00,1,183674.00,legacy_actual_outflow_sc_da1e7519855e444abecd4faec88c0bd4,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_026894f758c1401d96ba690165cf4883,5475,PRQ2605475,122290.00,1,122290.00,legacy_actual_outflow_sc_7886239c1905465681e31a90b8d2fc75,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_02750ac700bc4a6d855254b378a3c229,5476,PRQ2605476,100000.00,1,100000.00,legacy_actual_outflow_sc_bece9e0169fa4412b64ab1861fba5f7c,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_02766712d2a442658101fd746892aed0,5477,PRQ2605477,81700.00,1,81700.00,legacy_actual_outflow_sc_4ec975b7484b4009bd7a1c74e2f7ba5c,done,validated,historical_paid_by_downstream_business_fact
